,bruises,odor,ring-number,ring-type,spore-print-color,population,habitat,cap,gill,stalk
5921,1,2,1,4,1,4,5,-1.4933031881943875,-0.026432796589665127,-0.3198723200020583
1073,1,5,1,4,2,5,0,-1.7586209159116462,0.7322007073372602,-1.0907567707006371
3710,0,2,1,2,1,4,0,-1.7586209159116462,0.7322007073372602,3.2287685114893145
144,1,0,1,4,2,2,1,0.46849960362448534,0.16322557939206617,-1.020547991730168
5469,0,8,1,0,7,4,0,-0.4025213144518212,-2.0421267634770066,0.2290334705127982
1340,0,5,1,0,2,0,1,-0.09966971927229715,0.9140287735530548,-0.674901728968094
3614,0,2,1,2,1,5,0,0.46849960362448534,0.7322007073372602,3.2287685114893145
5388,1,2,1,4,1,4,5,0.4394367826889296,1.301175835282454,-1.3820642626977904
2091,0,5,1,0,3,0,1,-0.09966971927229715,0.7243703975713236,-0.674901728968094
6277,0,2,1,0,7,4,2,-0.7964864537333425,-2.0421267634770066,-0.3048043911741535
4507,0,2,1,2,1,5,1,0.8334019219704508,-0.026432796589665127,3.217800950132971
7486,0,5,2,4,7,2,1,-1.7586209159116462,1.2933455255165174,-0.665518582764133
8061,0,7,1,0,7,4,4,0.14359849295834642,-2.0421267634770066,0.5203409625099515
4840,1,5,2,4,5,4,1,0.8569091785348343,-0.21609117257139643,-0.8430332872471509
2903,0,2,1,2,1,5,4,-1.7586209159116462,-0.026432796589665127,1.4644722174718798
1003,1,6,1,4,2,4,1,-0.09966971927229715,-0.14554300365969353,-1.198062696213186
4856,0,2,1,2,1,5,4,-0.5767254980670828,-0.21609117257139643,4.393998479477928
3023,1,5,1,4,3,4,0,0.6591977383551894,1.1115174593007227,0.07721508762706197
555,1,0,1,4,2,5,4,1.8786270236620188,0.7322007073372602,-1.9066733720440707
8064,0,2,1,0,7,4,2,0.18915526500934482,-2.0421267634770066,-0.6191926838813802
6837,0,2,1,0,7,4,4,0.2652325990736682,-2.0421267634770066,-0.913242066217619
1485,1,6,1,4,2,4,5,-0.4025213144518212,-1.09383488356835,-1.198062696213186
5994,0,8,1,0,7,4,2,-0.7509296816823438,-2.0421267634770066,-0.30206250083506786
1272,1,6,1,4,3,3,1,1.3104577007652365,-0.7145181316048876,-1.198062696213186
1411,0,5,1,0,2,3,1,0.6136409663041908,1.2933455255165174,-0.674901728968094
7163,0,8,1,0,7,4,4,-0.7964864537333425,-2.0421267634770066,0.5203409625099515
7422,1,5,2,4,7,5,4,0.7878451499194522,1.301175835282454,-0.8430332872471509
1471,0,5,1,0,2,0,1,0.4394367826889296,1.2933455255165174,0.5419736211188371
6351,0,2,1,0,7,4,4,1.0076061055857122,-2.0421267634770066,-0.6191926838813802
7236,0,5,2,4,7,2,1,1.3795217293806183,1.2933455255165174,0.47401506362719864
4824,1,5,2,0,7,1,6,-0.7509296816823438,1.301175835282454,2.261265788902829
4696,1,5,1,4,3,5,0,1.0076061055857122,0.35288395537379746,-0.2058667333528342
5344,0,5,1,0,7,4,2,-0.17428931225885164,0.4156018145195639,2.318182152544229
3815,0,2,1,2,1,5,4,-0.5767254980670828,-0.026432796589665127,1.4644722174718798
981,1,3,1,4,2,3,3,0.07453446434296443,-0.21609117257139643,-1.020547991730168
6888,0,7,1,0,7,4,4,-0.7509296816823438,-2.0421267634770066,-0.6191926838813802
3114,1,5,1,4,3,4,0,-0.34849349587411305,1.301175835282454,-0.796707388364398
7167,0,5,2,4,7,3,1,0.5915914508175759,0.34505364560786106,-0.05708090772066722
1268,0,5,1,0,3,3,1,-0.09966971927229715,0.7243703975713236,0.5419736211188371
