,class
5921,1
1073,0
3710,1
144,0
5469,1
1340,0
3614,1
5388,1
2091,0
6277,1
4507,1
7486,0
8061,1
4840,1
2903,1
1003,1
4856,1
3023,0
555,0
8064,1
6837,1
1485,1
5994,1
1272,1
1411,0
7163,1
7422,0
1471,0
6351,1
7236,0
4824,0
4696,0
5344,0
3815,1
981,0
6888,1
3114,0
7167,0
1268,0
2462,0
5141,1
268,0
654,1
3289,0
7063,0
3782,0
4987,1
3315,0
589,0
3872,1
4693,1
6906,0
6304,1
7928,1
5224,1
3795,0
1808,0
6989,0
3032,0
7258,0
677,0
4513,1
5461,1
3454,1
5570,0
4751,1
7044,1
2432,0
4230,1
4076,0
4898,0
7358,0
4747,1
2627,1
1611,0
7249,1
7309,0
7219,1
5077,1
2716,0
8003,0
3365,1
605,0
5386,0
4047,0
1468,0
7952,0
3937,0
5964,1
7130,1
5007,1
3892,1
2155,0
2905,0
7813,0
2077,0
5064,1
4606,1
4205,1
4847,1
584,0
3550,0
5839,0
3852,1
2882,0
6292,1
5192,1
4173,1
4148,1
6632,1
6160,1
7821,1
2550,0
5728,1
344,0
6409,1
6781,1
5817,1
7624,1
5808,1
6291,1
5099,1
2833,0
90,0
6179,1
4295,1
5041,1
3443,1
2117,0
4307,1
7303,1
7853,1
3378,0
947,0
3182,1
7805,1
6139,1
883,0
4710,1
6675,1
4716,1
2939,0
7276,0
7447,1
6001,1
5427,1
6406,0
5412,1
5820,0
5701,1
2415,0
7273,0
6161,1
5666,0
5458,1
4198,1
7730,1
2398,0
4690,1
1710,0
7485,1
4782,1
1186,0
3945,0
7801,1
5846,1
6182,1
7943,1
151,0
915,0
1305,0
5071,0
5283,0
7836,0
4789,1
5362,0
1398,0
2519,0
183,0
3651,0
3316,0
4081,1
2417,0
471,0
967,0
5418,1
7867,0
209,0
1961,0
896,0
6159,1
2650,0
4974,1
1773,0
7652,0
2299,0
1209,0
4353,1
4640,1
1270,0
1251,0
7596,1
2758,0
7693,1
4902,1
7052,1
292,0
8031,1
1051,0
4342,1
3382,0
272,0
2042,0
4306,1
7134,0
5006,1
3080,0
1086,0
4864,1
6478,1
5704,0
5822,1
2812,0
5407,1
5165,1
5473,1
3442,0
3050,0
2877,0
4129,0
613,1
3305,0
5097,1
3478,0
4900,1
6625,1
1748,1
7326,1
6217,1
7050,0
2957,0
5777,0
2662,0
3244,0
3739,1
2154,0
1344,0
7852,1
6104,1
4829,1
952,0
6964,1
1504,0
3410,0
8076,0
7165,1
1121,0
4766,1
4896,1
3941,1
3209,1
7919,0
5286,1
5642,1
416,0
4816,1
2431,0
7871,0
564,0
2526,0
1224,0
142,0
4220,1
1490,0
6381,1
3358,1
3861,0
2653,0
2004,1
1194,0
2955,0
3043,0
1756,0
497,0
2776,0
2954,0
7938,0
912,0
721,0
5918,1
4411,1
1496,0
7922,0
1520,0
5193,0
3527,0
4003,0
6946,1
6543,1
108,0
1754,1
6228,1
1351,0
4595,1
4510,1
3608,1
1973,0
336,0
5110,1
6758,1
4091,1
4922,1
7755,1
3024,0
3658,1
724,0
765,0
4410,0
7739,1
4574,1
307,0
1278,0
4055,1
3856,0
6325,1
7384,1
7364,1
1791,0
4231,1
3783,1
6282,1
2053,0
5663,1
3621,1
71,0
6706,1
2759,0
4575,1
7239,0
2973,0
6803,1
1260,1
1666,0
7757,1
7682,0
4322,1
3706,0
2167,0
8069,0
2533,1
1695,0
1095,1
6877,1
5952,1
3862,0
1630,1
4984,0
1881,0
4375,0
5650,1
1612,0
978,0
1413,0
5781,0
6707,1
848,0
3885,1
3773,0
2271,0
2392,0
7671,0
1830,0
3268,1
47,0
4273,1
6330,1
1350,0
7564,0
4369,1
446,0
2248,0
1743,0
844,0
4015,1
2945,0
3206,0
2440,0
678,0
6649,1
4706,1
1294,1
2840,0
7109,1
4607,1
7592,1
5816,0
5148,0
1112,0
776,1
7681,1
2231,0
2228,0
2153,0
5528,0
3914,0
3784,0
7353,0
1366,0
1469,0
1851,0
1963,0
5629,1
4879,1
4701,1
4004,1
485,0
2239,0
4139,1
3196,0
4918,1
6855,1
30,0
4075,1
1879,0
5897,1
5920,1
5787,0
4567,1
5466,0
5561,1
1036,0
636,0
5168,1
4509,1
1083,0
2615,0
861,0
7382,1
903,0
5967,1
109,0
7810,0
4552,1
3357,1
5679,0
6817,1
2995,0
5970,0
1831,0
3520,0
3176,0
782,0
7924,1
4982,1
5230,0
6517,0
2910,0
7700,1
1825,0
2617,0
6353,1
1094,0
5707,1
6977,1
4161,0
4952,1
6206,1
4280,1
6333,1
1654,0
6648,1
7442,1
2323,0
2413,0
6226,1
2654,0
6818,1
5537,0
2678,0
4609,1
5292,1
3328,1
7648,1
6672,1
178,0
3263,0
8063,0
3441,1
1204,1
2202,0
4709,1
6590,1
6267,1
3145,0
8077,0
3728,0
1770,0
829,0
941,0
7031,1
2486,0
627,0
3102,1
4791,1
925,0
295,0
1052,0
2707,0
4381,1
7283,1
4434,1
5812,1
2789,0
944,0
7203,1
6735,1
12,0
1117,0
5924,1
7945,0
5583,1
3217,0
4550,1
1319,0
779,0
7935,1
7431,1
6023,1
3877,0
433,0
653,1
2477,0
3298,1
3481,0
4906,1
4695,1
3149,0
7915,0
4671,1
2886,0
6551,1
4447,1
5927,1
6345,1
6144,1
5653,0
8086,0
570,0
1448,0
4253,0
4570,0
4581,1
3370,0
6683,1
1745,1
2741,0
1590,0
7723,0
3936,1
287,0
1738,0
5102,1
7174,1
3534,0
5045,1
4860,0
3765,0
4717,0
2827,0
1684,0
5300,1
1338,0
6598,1
2742,0
3934,1
6662,1
5015,0
6531,1
2902,0
2258,0
4991,1
2986,0
4939,0
4078,1
6687,1
4151,1
4480,0
1564,0
7370,0
4746,1
5933,1
7179,1
2185,0
4288,1
1231,1
6967,0
1258,0
2254,0
1951,0
7552,0
113,0
6890,1
2509,0
5956,1
7310,1
4534,0
2548,0
5519,1
507,0
4454,1
4160,1
5815,1
7791,0
4587,1
7795,0
4323,1
2850,0
4761,1
4334,1
7645,1
350,0
4817,1
2906,0
4421,1
4557,0
2505,0
2620,0
4407,1
1114,0
2846,0
5743,0
298,0
1675,0
6447,1
7697,1
6496,1
6195,1
6626,1
5649,0
3779,0
229,0
76,0
4424,0
5646,1
7909,0
6155,1
2103,0
6388,1
3707,1
6215,1
3605,1
5636,1
